"id","playlist_id","video_id","videoPublishedAt","position","publishedAt"
"UExCY0FhNDQyTUxBcXpxa0lRNG9HVlpQZnVfZnBmYUt5cS41NkI0NEY2RDEwNTU3Q0M2","PLBcAa442MLAqzqkIQ4oGVZPfu_fpfaKyq","FEmnnU-HhnQ","2024-06-22T12:00:17Z","0","2025-10-28T04:04:23Z"
"UExCY0FhNDQyTUxBcGhTNkF4b1VMM0dtZmNHOEpSeGYyMC4wOTA3OTZBNzVEMTUzOTMy","PLBcAa442MLAphS6AxoUL3GmfcG8JRxf20","abPmZCZZrFA","2024-06-08T13:00:01Z","0","2024-06-07T06:34:28Z"
"UExCY0FhNDQyTUxBcGhTNkF4b1VMM0dtZmNHOEpSeGYyMC4wMTcyMDhGQUE4NTIzM0Y5","PLBcAa442MLAphS6AxoUL3GmfcG8JRxf20","CQXQKr_3vKE","2024-05-29T12:58:00Z","1","2024-05-29T08:47:18Z"
"UExCY0FhNDQyTUxBcGhTNkF4b1VMM0dtZmNHOEpSeGYyMC41NkI0NEY2RDEwNTU3Q0M2","PLBcAa442MLAphS6AxoUL3GmfcG8JRxf20","gH-zvjVICMM","2024-05-25T12:00:42Z","2","2024-05-25T15:41:35Z"
"UExCY0FhNDQyTUxBcGhTNkF4b1VMM0dtZmNHOEpSeGYyMC4yODlGNEE0NkRGMEEzMEQy","PLBcAa442MLAphS6AxoUL3GmfcG8JRxf20","PKX7Wf-no3I","2024-05-22T12:03:11Z","3","2024-05-25T15:41:35Z"
"UExCY0FhNDQyTUxBcGhTNkF4b1VMM0dtZmNHOEpSeGYyMC41MjE1MkI0OTQ2QzJGNzNG","PLBcAa442MLAphS6AxoUL3GmfcG8JRxf20","cyKJyol7vLg","2024-05-31T13:15:03Z","4","2024-05-31T12:32:37Z"
"UExCY0FhNDQyTUxBcHdxZjRaZVFDdXJZRmFEVUVhdDNrSS5DQUNERDQ2NkIzRUQxNTY1","PLBcAa442MLApwqf4ZeQCurYFaDUEat3kI","IpDNg7Xj2R4","2024-03-23T12:00:12Z","0","2024-03-23T11:34:49Z"
"UExCY0FhNDQyTUxBcHdxZjRaZVFDdXJZRmFEVUVhdDNrSS41MjE1MkI0OTQ2QzJGNzNG","PLBcAa442MLApwqf4ZeQCurYFaDUEat3kI","zoEtcR5EW08","2024-03-07T17:00:50Z","1","2024-03-07T12:33:51Z"
"UExCY0FhNDQyTUxBcHdxZjRaZVFDdXJZRmFEVUVhdDNrSS4yODlGNEE0NkRGMEEzMEQy","PLBcAa442MLApwqf4ZeQCurYFaDUEat3kI","9K-82fomFhA","2024-03-01T12:00:08Z","2","2024-03-01T10:20:17Z"
"UExCY0FhNDQyTUxBcHdxZjRaZVFDdXJZRmFEVUVhdDNrSS4wMTcyMDhGQUE4NTIzM0Y5","PLBcAa442MLApwqf4ZeQCurYFaDUEat3kI","6jGbAKQ7KoM","2024-03-04T12:30:02Z","3","2024-03-04T11:34:03Z"
