"comment_id","video_id","author_name","author_channel_id","comment_text","like_count","published_at","updated_at","reply_count"
"Ugx6gSQiOFe8KCLQKs94AaABAg","FN7ALfpGxiI","@Sontungmtp","UClyA28-01x4z60eWQ2kiNbA","Hãy tận hưởng món quà đầu tiên mà Tùng dành đến cho tất cả mọi người trong chuỗi dự án to bự mang tên SKY DECADE nhé ….. QUÀ NHẸ NHÀNG VUI VẺ ! <a href=""http://yt3.piee.pw/4gzddn"">http://yt3.piee.pw/4gzddn</a><br>🌻🌻🌻<br>Chúc mừng một thập kỷ của SKY …","13313","2022-10-06T15:58:20Z","2022-10-06T15:58:20Z","612"
"UgiuRKedA5VlPngCoAEC","FN7ALfpGxiI","@hungo1928","UCj5lBEKtDviV4BzBGs8xjdw","Xin ít like làm động lực cày view đi","535","2017-02-14T12:42:21Z","2017-02-14T12:42:21Z","1"
"UgyNkoQGYEBQfVrtfxl4AaABAg","FN7ALfpGxiI","@lyphuong1933","UCuVZVZeUUvHM2-OTGi0jQrQ","260M trước khi MV mới ra cố lên Sky ơi!!","454","2020-12-16T04:05:12Z","2020-12-16T04:05:12Z","9"
"Ugi2kcoE98TLNXgCoAEC","FN7ALfpGxiI","@타임2803","UCT7z082dTkiwBlNTo8Evmmw","Thank you Korean sub^-^ 좋아요","1375","2017-02-19T14:06:31Z","2017-02-19T14:06:31Z","22"
"UgyuLfCywc7s1PComhF4AaABAg","FN7ALfpGxiI","@tuynhpham3570","UCPnsg7n-h0Th_t3Ig8mOzhQ","Sắp 2026 rồi còn ai nghe không nè,mai thi rồi mở nhạc sếp ôn thi😅❤❤❤mãi làm sky<br>(Cảm ơn vì 100 like)","209","2025-12-30T10:48:22Z","2026-01-03T00:55:38Z","24"
"UgiD1oJ2x-hv9HgCoAEC","FN7ALfpGxiI","@caovietanhcongty","UC0745QFvYN2t7mDbv-1HYEA","cần 100 like làm động lực làm tiếp làm 2 ngày nay mệt qá sky ơii","939","2017-02-15T10:05:08Z","2017-02-15T10:05:08Z","16"
"Ugg90cb3xcvVa3gCoAEC","FN7ALfpGxiI","@mariadavis6352","UCHNtvMeBdnMpxKVG6sb-7NA","woow 7.350.630 Views 😱😱😱😱😱","1208","2017-02-14T19:04:42Z","2017-02-14T19:04:42Z","15"
"UghkCitR_STXlngCoAEC","FN7ALfpGxiI","@nguyenpham8256","UCYzYFV89NZ9WOJBPxahcR5A","dẫn đầu thế giới rồi trời ơi, k thể tin nổi dc, MV việt nam nha.","2164","2017-02-14T23:43:03Z","2017-02-14T23:43:03Z","54"
"UgypoXQJJZtHXp3rZo94AaABAg","FN7ALfpGxiI","@lkvofficial3210","UC_JngATQhXSHbw8cjdagLQQ","429.650M<br>+104k","9","2026-01-06T15:05:23Z","2026-01-06T15:05:23Z","2"
"Ugg06Lwzd5H7bHgCoAEC","FN7ALfpGxiI","@tanhuynh641","UCS1vpmTe2_TSnGfm2dGJ2yA","Mình đag cày Lạc Trôi và Nơi Này Có Anh. Mọi người tặng mình vài like làm động lực nhé 😘","870","2017-02-16T13:49:24Z","2017-02-16T13:49:24Z","11"
"UghhMowRWqc1fngCoAEC","FN7ALfpGxiI","@phuochuy4705","UCURHrB5_IZzhmLY2qfnFuxQ","- Có ai giống mình không : Niềm vui mỗi ngày là nhìn số view của NNCA và Lạc trôi !","1377","2017-02-24T11:48:07Z","2017-02-24T11:48:07Z","30"
"Ugi0yRaSOydHN3gCoAEC","FN7ALfpGxiI","@user-xh9uw2nf2m","UCVGQ7manMLqvNZPJktRUyjw","good song 😘 who like this song press like. 😘😘 <br>I from Thailand... Thai fan (sky) 😜😜","1026","2017-02-15T23:24:34Z","2017-02-15T23:24:34Z","9"
"UgxIaaH2c2qt5FNZT_Z4AaABAg","FN7ALfpGxiI","@skyM-TPfan","UC0QmZTNgH9bO06iC0hs3dkw","Ae sky ơi,cày đều nhé","3","2026-01-07T05:04:03Z","2026-01-07T05:04:03Z","0"
