"video_id","video_title","video_desc","video_published_at","duration_iso8601","view_count","like_count","comment_count","live_actual_start","live_actual_end","live_scheduled_start"
"FEmnnU-HhnQ","SƠN TÙNG M-TP | 7-MINUTE STAGE | ĐỪNG LÀM TRÁI TIM ANH ĐAU","Hãy cùng nhau thưởng thức lại màn trình diễn LIVE PERFORMANCE ĐẦU TIÊN của ĐỪNG LÀM TRÁI TIM ANH ĐAU tại 7-MINUTE STAGE nàooooo !!! 🔥🔥🔥 NHỚ là tiếp tục ủng hộ bài hát trên các nền tảng nghe nhạc số nhéeee: 👉🏼 https://vivienm.lnk.to/DLTTAD 🎧🧩❤️‍🩹 Tùng yêu mọi người rất nhiều ♥️♥️♥️ #SonTungMTP #DLTTAD #dunglamtraitimanhdau #7minutestage ▶ More information about Sơn Tùng M-TP: https://www.facebook.com/MTP.Fan https://www.instagram.com/sontungmtp https://www.youtube.com/sontungmtp https://www.tiktok.com/@tiger050794 https://twitter.com/sontungmtp777 @Spotify: https://spoti.fi/2HPWs20 @Itunes: https://apple.co/2rlSl3w ▶More information about M-TP Talent: https://www.facebook.com/mtptalent https://www.instagram.com/mtptalent https://twitter.com/mtptalent ▶ More about M-TP ENTERTAINMENT https://www.facebook.com/mtptown https://mtpentertainment.com https://twitter.com/mtpent_official https://www.instagram.com/mtpent_official ▶ CLICK TO SUBSCRIBE: http://popsww.com/sontungmtp #sontungmtp #sontung #mtp #mtpentertainment","2024-06-22T12:00:17Z","PT12M18S","4120405","88335","5018","","",""
"abPmZCZZrFA","SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL MUSIC VIDEO","Hãy cùng thưởng thức ca khúc ĐỪNG LÀM TRÁI TIM ANH ĐAU ngay tại đây nhé: 👉🏻 👉🏻 👉🏻 https://vivienm.lnk.to/DLTTAD 💍❤️‍🩹🧩 #DLTTAD #SonTungMTP #DungLamTraiTimAnhDau 🚫🤲🏻♥️🙆🏻‍♂️😢 ▶ More information about Sơn Tùng M-TP: https://www.facebook.com/MTP.Fan https://www.instagram.com/sontungmtp https://www.youtube.com/sontungmtp https://www.tiktok.com/@tiger050794 https://twitter.com/sontungmtp777 @Spotify: https://spoti.fi/2HPWs20 @Itunes: https://apple.co/2rlSl3w ▶More information about M-TP Talent: https://www.facebook.com/mtptalent https://www.instagram.com/mtptalent https://twitter.com/mtptalent ▶ More about M-TP ENTERTAINMENT https://www.facebook.com/mtptown https://mtpentertainment.com https://twitter.com/mtpent_official https://www.instagram.com/mtpent_official ▶ CLICK TO SUBSCRIBE: http://popsww.com/sontungmtp #sontungmtp #sontung #mtp #mtpentertainment","2024-06-08T13:00:01Z","PT5M26S","163808399","1408972","250761","","",""
"CQXQKr_3vKE","SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL TEASER","ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 20:00 | 08-06-2024 💭 Đã khắc ghi cuộc hẹn này trong tim chưaaaa? 👀 #DLTTAD 💍 #SonTungMTP ▶ More information about Sơn Tùng M-TP: https://www.facebook.com/MTP.Fan https://www.instagram.com/sontungmtp https://www.youtube.com/sontungmtp https://www.tiktok.com/@tiger050794 https://twitter.com/sontungmtp777 @Spotify: https://spoti.fi/2HPWs20 @Itunes: https://apple.co/2rlSl3w ▶More information about M-TP Talent: https://www.facebook.com/mtptalent https://www.instagram.com/mtptalent https://twitter.com/mtptalent ▶ More about M-TP ENTERTAINMENT https://www.facebook.com/mtptown https://mtpentertainment.com https://twitter.com/mtpent_official https://www.instagram.com/mtpent_official ▶ CLICK TO SUBSCRIBE: http://popsww.com/sontungmtp #sontungmtp #sontung #mtp #mtpentertainment","2024-05-29T12:58:00Z","PT22S","1806608","72146","5743","","",""
"gH-zvjVICMM","ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP","ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP","2024-05-25T12:00:42Z","PT10S","1027713","34317","731","","",""
"PKX7Wf-no3I","… 👀 #DLTTAD 💍","… 👀 #DLTTAD 💍","2024-05-22T12:03:11Z","PT17S","561688","14342","252","","",""
"cyKJyol7vLg","Main Poster: ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹","❤️‍🩹 20:00 | 08-06-2024 💭 NHỚ ĐẤY 👀 #DLTTAD 💍 #SonTungMTP","2024-05-31T13:15:03Z","PT10S","474207","17984","326","","",""
"IpDNg7Xj2R4","SƠN TÙNG M-TP | 7-MINUTE STAGE | CHÚNG TA CỦA TƯƠNG LAI","Hãy cùng nhau thưởng thức lại màn trình diễn LIVE PERFORMANCE ĐẦU TIÊN của CHÚNG TA CỦA TƯƠNG LAI tại 7-MINUTE STAGE nàooooo !!! 🔥🔥🔥 Và đừng quên tiếp tục ủng hộ bài hát trên các nền tảng nghe nhạc số nhéeee: https://mtp.bfan.link/chung-ta-cua-tuong-lai 🪐🪐🪐✨✨✨ 🎶🎶🎶 Tùng yêu mọi người rất nhiều ♥️♥️♥️ #SonTungMTP #chungtacuatuonglai #haitu #7minutestage ▶ More information about Sơn Tùng M-TP: https://www.facebook.com/MTP.Fan https://www.instagram.com/sontungmtp https://www.youtube.com/sontungmtp https://twitter.com/sontungmtp777 @Spotify: https://spoti.fi/2HPWs20 @Itunes: https://apple.co/2rlSl3w ▶More information about M-TP Talent: https://www.facebook.com/mtptalent https://www.instagram.com/mtptalent https://twitter.com/mtptalent ▶ More about M-TP ENTERTAINMENT https://www.facebook.com/mtptown https://mtpentertainment.com https://twitter.com/mtpent_official https://www.instagram.com/mtpent_official ▶ CLICK TO SUBSCRIBE: http://popsww.com/sontungmtp #sontungmtp #sontung #mtp #mtpentertainment","2024-03-23T12:00:12Z","PT7M41S","4841985","98573","9558","","",""
"zoEtcR5EW08","SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL MUSIC VIDEO","Hãy thưởng thức ca khúc CHÚNG TA CỦA TƯƠNG LAI ngay tại đây: https://MTP.bfan.link/chung-ta-cua-tuong-lai 🪐🪐🪐✨✨✨ #chungtacuatuonglai #ctctl #sontungmtp #haitu ▶ More information about Sơn Tùng M-TP: https://www.facebook.com/MTP.Fan https://www.instagram.com/sontungmtp https://www.youtube.com/sontungmtp https://twitter.com/sontungmtp777 @Spotify: https://spoti.fi/2HPWs20 @Itunes: https://apple.co/2rlSl3w ▶More information about M-TP Talent: https://www.facebook.com/mtptalent https://www.instagram.com/mtptalent https://twitter.com/mtptalent ▶ More about M-TP ENTERTAINMENT https://www.facebook.com/mtptown https://mtpentertainment.com https://twitter.com/mtpent_official https://www.instagram.com/mtpent_official ▶ CLICK TO SUBSCRIBE: http://popsww.com/sontungmtp #sontungmtp #sontung #mtp #mtpentertainment","2024-03-07T17:00:50Z","PT4M37S","86016456","915636","269626","","",""
"9K-82fomFhA","SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL TEASER","Cảm ơn tất cả các bạn đã luôn yêu thương và ủng hộ Tùng ! Bài hát mới 🪐 CHÚNG TA CỦA TƯƠNG LAI 🪐 sẽ được ra mắt vào 00:00 ngày 08/03 này ‼️ Hãy PRE-SAVE ngay để không bỏ lỡ nhau nha: https://MTP.bfan.link/chung-ta-cua-tuong-lai 👈🏼👈🏼👈🏼✨✨✨ #chungtacuatuonglai #ctctl #sontungmtp #haitu ▶ More information about Sơn Tùng M-TP: https://www.facebook.com/MTP.Fan https://www.instagram.com/sontungmtp https://www.youtube.com/sontungmtp https://twitter.com/sontungmtp777 @Spotify: https://spoti.fi/2HPWs20 @Itunes: https://apple.co/2rlSl3w ▶More information about M-TP Talent: https://www.facebook.com/mtptalent https://www.instagram.com/mtptalent https://twitter.com/mtptalent ▶ More about M-TP ENTERTAINMENT https://www.facebook.com/mtptown https://mtpentertainment.com https://twitter.com/mtpent_official https://www.instagram.com/mtpent_official ▶ CLICK TO SUBSCRIBE: http://popsww.com/sontungmtp","2024-03-01T12:00:08Z","PT37S","1389246","66683","5940","","",""
"6jGbAKQ7KoM","ACOUSTIC DEMO | CHÚNG TA CỦA TƯƠNG LAI","Một chút giai điệu từ CHÚNG TA CỦA TƯƠNG LAI… 🎶🎶🎶 Đừng quên cuộc hẹn vào 00:00 ngày 08/03 đó nhé 🪐🪐🪐 #chungtacuatuonglai ▶ More information about Sơn Tùng M-TP: https://www.facebook.com/MTP.Fan https://www.instagram.com/sontungmtp https://www.youtube.com/sontungmtp https://twitter.com/sontungmtp777 @Spotify: https://spoti.fi/2HPWs20 @Itunes: https://apple.co/2rlSl3w ▶More information about M-TP Talent: https://www.facebook.com/mtptalent https://www.instagram.com/mtptalent https://twitter.com/mtptalent ▶ More about M-TP ENTERTAINMENT https://www.facebook.com/mtptown https://mtpentertainment.com https://twitter.com/mtpent_official https://www.instagram.com/mtpent_official ▶ CLICK TO SUBSCRIBE: http://popsww.com/sontungmtp #sontungmtp #sontung #mtp #mtpentertainment","2024-03-04T12:30:02Z","PT52S","943118","45146","779","","",""
